tourney_id,tourney_name,surface,tourney_level,tourney_date,match_num,winner_id,winner_name,winner_ht,winner_age,loser_id,loser_name,loser_ht,loser_age,score,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2010-580,Australian Open,Hard,G,20100118,28,103163,Tommy Haas,188.0,31.794661191,103752,Simon Greul,185.0,28.7665982204,6-7(5) 6-4 6-2 6-1,14.0,4.0,109.0,71.0,49.0,25.0,18.0,2.0,4.0,3.0,11.0,143.0,69.0,44.0,30.0,19.0,17.0,25.0,17.0,1855.0,61.0,739.0
2010-580,Australian Open,Hard,G,20100118,29,104597,Nicolas Almagro,183.0,24.4106776181,103598,Xavier Malisse,185.0,29.5003422313,7-6(12) 6-4 2-6 4-6 8-6,15.0,5.0,169.0,103.0,76.0,39.0,27.0,5.0,9.0,14.0,3.0,187.0,106.0,79.0,45.0,27.0,10.0,13.0,25.0,1305.0,93.0,541.0
2010-580,Australian Open,Hard,G,20100118,30,103794,Benjamin Becker,178.0,28.59137577,104813,Grega Zemlja,183.0,23.3045859001,7-6(5) 7-5 7-5,8.0,8.0,108.0,55.0,44.0,25.0,18.0,4.0,8.0,10.0,3.0,107.0,61.0,38.0,28.0,18.0,5.0,11.0,38.0,1016.0,169.0,291.0
2010-580,Australian Open,Hard,G,20100118,31,104268,Alejandro Falla,185.0,26.1793292266,103228,Marcos Daniel,180.0,31.5427789185,7-5 6-3 6-1,2.0,4.0,87.0,45.0,36.0,24.0,14.0,2.0,2.0,2.0,8.0,87.0,31.0,25.0,24.0,14.0,5.0,10.0,77.0,594.0,88.0,565.0
2010-580,Australian Open,Hard,G,20100118,32,104719,Marcel Granollers,190.0,23.7700205339,104417,Robin Soderling,193.0,25.4291581109,5-7 2-6 6-4 6-4 6-2,11.0,1.0,142.0,91.0,57.0,29.0,24.0,6.0,12.0,8.0,3.0,158.0,97.0,65.0,28.0,24.0,8.0,15.0,113.0,483.0,8.0,3410.0
2010-580,Australian Open,Hard,G,20100118,33,104053,Andy Roddick,188.0,27.3867214237,105217,Thiemo De Bakker,193.0,21.3305954825,6-1 6-4 6-4,8.0,1.0,88.0,55.0,41.0,23.0,14.0,7.0,7.0,17.0,2.0,91.0,66.0,43.0,12.0,13.0,11.0,15.0,7.0,4510.0,80.0,586.0
2010-580,Australian Open,Hard,G,20100118,34,105064,Thomaz Bellucci,188.0,22.0533880903,104559,Teymuraz Gabashvili,188.0,24.6570841889,6-3 7-5 4-6 6-4,9.0,6.0,148.0,95.0,70.0,26.0,21.0,13.0,16.0,3.0,13.0,154.0,88.0,58.0,31.0,20.0,23.0,27.0,35.0,1086.0,102.0,518.0
2010-580,Australian Open,Hard,G,20100118,35,103852,Feliciano Lopez,188.0,28.3285420945,104655,Pablo Cuevas,180.0,24.0465434634,6-1 6-4 7-5,13.0,2.0,88.0,59.0,44.0,14.0,15.0,3.0,5.0,7.0,8.0,84.0,51.0,36.0,12.0,14.0,4.0,11.0,46.0,905.0,48.0,905.0
2010-580,Australian Open,Hard,G,20100118,36,102783,Rainer Schuettler,180.0,33.7330595483,105023,Sam Querrey,198.0,22.2833675565,6-3 2-6 6-4 6-3,1.0,5.0,113.0,64.0,47.0,24.0,18.0,2.0,5.0,15.0,6.0,106.0,62.0,47.0,18.0,18.0,5.0,10.0,107.0,505.0,29.0,1240.0
2010-580,Australian Open,Hard,G,20100118,37,104607,Tomas Berdych,196.0,24.3367556468,104898,Robin Haase,190.0,22.7871321013,6-0 6-3 6-3,2.0,1.0,66.0,33.0,26.0,21.0,12.0,2.0,3.0,5.0,5.0,81.0,49.0,26.0,11.0,12.0,3.0,10.0,21.0,1680.0,390.0,95.0
2010-580,Australian Open,Hard,G,20100118,38,105095,Evgeny Korolev,185.0,21.9274469541,104978,Daniel Brands,196.0,22.507871321,6-2 7-5 7-5,2.0,7.0,101.0,58.0,42.0,21.0,16.0,4.0,7.0,10.0,5.0,95.0,49.0,29.0,22.0,16.0,2.0,9.0,53.0,860.0,91.0,550.0
2010-580,Australian Open,Hard,G,20100118,39,104947,Marsel Ilhan,190.0,22.6064339493,103206,Sebastien Grosjean,175.0,31.6413415469,6-4 6-3 7-5,1.0,1.0,110.0,74.0,49.0,22.0,15.0,10.0,11.0,4.0,1.0,101.0,64.0,42.0,18.0,16.0,10.0,16.0,154.0,322.0,564.0,46.0
2010-580,Australian Open,Hard,G,20100118,40,103602,Fernando Gonzalez,183.0,29.4729637235,103694,Olivier Rochus,168.0,28.9993155373,6-3 6-4 3-6 6-1,19.0,4.0,95.0,56.0,48.0,19.0,18.0,4.0,7.0,5.0,4.0,127.0,83.0,51.0,20.0,17.0,9.0,15.0,11.0,2870.0,59.0,769.0
2010-580,Australian Open,Hard,G,20100118,41,105227,Marin Cilic,198.0,21.3059548255,102148,Fabrice Santoro,178.0,37.1088295688,7-5 7-5 6-3,6.0,2.0,92.0,53.0,42.0,22.0,17.0,2.0,4.0,0.0,1.0,108.0,65.0,43.0,21.0,16.0,12.0,17.0,14.0,2430.0,67.0,645.0
2010-580,Australian Open,Hard,G,20100118,42,106071,Bernard Tomic,193.0,17.2429842574,105558,Guillaume Rufin,188.0,19.6495550992,6-3 6-4 6-4,5.0,0.0,85.0,56.0,39.0,18.0,15.0,5.0,8.0,2.0,2.0,79.0,44.0,24.0,18.0,14.0,7.0,13.0,289.0,150.0,173.0,287.0
2010-580,Australian Open,Hard,G,20100118,43,103857,Igor Kunitsyn,180.0,28.3011635866,104076,Jose Acasuso,190.0,27.2470910335,6-1 2-6 6-4 6-2,5.0,2.0,120.0,99.0,67.0,10.0,17.0,11.0,14.0,9.0,6.0,105.0,61.0,39.0,17.0,16.0,5.0,11.0,100.0,525.0,51.0,870.0
2010-580,Australian Open,Hard,G,20100118,44,104527,Stan Wawrinka,183.0,24.810403833,104198,Guillermo Garcia Lopez,188.0,26.6255989049,6-3 6-3 6-2,6.0,4.0,74.0,43.0,36.0,20.0,13.0,3.0,3.0,1.0,9.0,84.0,52.0,34.0,12.0,13.0,3.0,8.0,19.0,1765.0,44.0,954.0
2010-580,Australian Open,Hard,G,20100118,45,104678,Viktor Troicki,193.0,23.9370294319,102839,Nicolas Lapentti,188.0,33.4318959617,4-6 6-3 6-1 6-3,15.0,3.0,110.0,60.0,46.0,27.0,17.0,8.0,10.0,2.0,3.0,117.0,53.0,31.0,31.0,18.0,5.0,12.0,30.0,1220.0,94.0,540.0
